Initial_Price,Inventory_Rate,Product_Score,Shop_Score,Active_Time_Left,Product_Cost,Target_Price
19,0.699844,0.284686,0.003618,0.870483,15.2,16.08
15,0.779515,0.253588,0.497562,0.92275,12,12.81
29,0.022933,0.327564,0.420586,0.002214,23.2,39.02
15,0.577663,0.144164,0.901736,0.469488,12,15.41
17,0.001642,0.165613,0,0.981469,13.6,18.75
24,0.515473,0.963931,0.24991,0.398945,19.2,26.65
12,0.639795,0.960227,1,0.813732,9.6,15.19
14,0.985624,0.188415,1,0.546456,11.2,12.21
17,0.259098,0.024307,0,0.770854,13.6,17.72
15,0.802497,0.204556,0.922424,0.484931,12,14.36
17,0.262273,0.214256,0.350888,0.560186,13.6,18.92
15,0.100859,0.21664,0,0.967719,12,15.99
11,0.917193,0.232307,0.558706,0.308384,8.8,10.16
16,0.51746,0.729086,1,0.33889,12.8,21.07
15,0.13354,0.415919,0,0.730882,12,16.51
14,0.112543,0.583898,0.14336,0.70137,11.2,16.07
9,0.841641,0.494337,0.486343,0.725349,7.2,8.23
14,0.546075,0.430047,0.734658,0.893943,11.2,14.41
15,0.261017,0.734766,1,0.716649,12,20.19
13,0.575826,0.556216,1,0.682153,10.4,15.02
20,0.313853,0.302631,1,0.843117,16,22.54
25,0.791623,0.970798,1,0.645119,20,31.07
18,0.493091,0.224843,0.271774,0.302699,14.4,19.2
20,0.965158,0.138769,0.571871,0.828781,16,15.6
26,0.520312,0.614932,0.350049,0.24472,20.8,29.35
19,0.903022,0.491929,0.81821,0.703781,15.2,18.22
24,0.249805,0.183153,0.412093,0.535888,19.2,26.95
12,0.521487,0.109311,0.138469,0.38081,9.6,12.26
16,0.505746,0.539576,1,0.178618,12.8,20.44
23,0.813071,0.289299,0.524849,0.885832,18.4,19.74
20,0.073194,0.103054,0.280635,0.080233,16,25.32
17,0.836207,0.490602,1,0.803589,13.6,17.02
21,0.804236,0.632092,0,0.68347,16.8,17.67
18,0.406321,0.037969,0.348297,0.46201,14.4,18.91
19,0.036451,0.500108,0.249042,0.664049,15.2,22.85
15,0.767254,0.083543,0,0.282666,12,14.05
18,0.678928,0.791318,0,0.861575,14.4,15.41
18,0.918929,0.758036,0.571159,0.17848,14.4,19.26
25,0.845345,0.796761,1,0.36078,20,30.21
14,0.168275,0.717242,0.510007,0.4181,11.2,18.14
17,0.664969,0.147148,0.884031,0.181404,13.6,17.85
19,0.807835,0.658748,0.223581,0.521014,15.2,17.7
13,0.549714,0.069252,0,0.534992,10.4,12.65
17,0.164717,0.357071,0,0.317044,13.6,19.9
16,0.035529,0.81283,0.791561,0.737088,12.8,22.33
8,0.281534,0.427705,1,0.160202,6.4,10.61
22,0.807871,0.599854,0.734706,0.192508,17.6,24.52
20,0.044766,0.728161,0.337698,0.354511,16,26.19
13,0.008217,0.821228,1,0.378376,10.4,20.14
16,0.361617,0.760515,0.718651,0.206286,12.8,21.32
19,0.063622,0.007143,0.650717,0.918709,15.2,20.76
15,0.149486,0.420257,0.726289,0.828094,12,17.95
15,0.02319,0.463136,0.533811,0.106877,12,20.52
9,0.52472,0.0555,0.445262,0.369486,7.2,9.23
19,0.696696,0.541442,0,0.232671,15.2,18.52
17,0.427053,0.607771,0.850812,0.451079,13.6,21.18
18,0.13457,0.828453,0.552612,0.276317,14.4,24.73
9,0.331357,0.941809,1,0.501807,7.2,12.99
25,0.590346,0.128148,0.415591,0.922603,20,22.52
17,0.940661,0.230431,0,0.382511,13.6,14.4
15,0.992558,0.659158,0.550195,0.650128,12,13.77
27,0.241603,0.132474,1,0.595621,21.6,30.71
16,0.01058,0.224079,0.408288,0.751954,12.8,18.91
9,0.83064,0.574863,0.155072,0.061665,7.2,8.92
14,0.926613,0.169524,0.003204,0.744824,11.2,10.93
5,0.458603,0.78223,0.074992,0.946276,4,4.75
22,0.771442,0.856976,0.449903,0.60356,17.6,22.55
14,0.866199,0.033674,0.010009,0.28758,11.2,12.55
13,0.609615,0.532645,1,0.672369,10.4,14.75
22,0.872627,0.796951,0.458682,0.712049,17.6,21
8,0.023903,0.97514,0.654324,0.65645,6.4,11.31
19,0.271595,0.274259,1,0.14693,15.2,24.16
6,0.27722,0.169101,1,0.973476,4.8,6.37
13,0.120632,0.876701,0.493634,0.955383,10.4,16.04
10,0.910713,0.909182,0.765987,0.424626,8,11.29
24,0.030439,0.197533,0.967513,0.593637,19.2,29.89
25,0.672561,0.44153,0.503572,0.039629,20,27.8
15,0.07134,0.719232,0,0.988634,12,16.11
25,0.730708,0.707181,0,0.971624,20,20.33
19,0.651123,0.263887,0.138104,0.367703,15.2,18.63
17,0.478978,0.926726,0.088062,0.20494,13.6,18.7
7,0.274781,0.839193,1,0.24057,5.6,10.34
15,0.652223,0.726319,0.534043,0.827863,12,15.43
15,0.95645,0.48024,0,0.965228,12,10.87
16,0.435521,0.842103,0.923338,0.69881,12.8,20.75
13,0.070133,0.744752,0.421865,0.482497,10.4,16.91
16,0.057731,0.660326,0,0.28705,12.8,19.51
14,0.082871,0.913975,0.301675,0.833688,11.2,16.95
10,0.959707,0.633666,0.305703,0.87218,8,8.19
21,0.540761,0.365941,0.163059,0.092132,16.8,22.87
21,0.837462,0.552845,0.614857,0.215949,16.8,22.21
25,0.170034,0.196381,0,0.831761,20,26.64
17,0.260345,0.192072,0.466119,0.848304,13.6,18.05
14,0.691978,0.72567,1,0.314653,11.2,17.51
14,0.89557,0.784937,1,0.279295,11.2,16.8
9,0.340688,0.972098,1,0.430815,7.2,13.2
21,0.064673,0.850971,1,0.539447,16.8,31.64
11,0.86412,0.543594,1,0.095567,8.8,12.68
11,0.290872,0.089791,0.04085,0.836912,8.8,11.2
15,0.741082,0.488873,1,0.534735,12,16.38
24,0.158034,0.927936,0,0.774968,19.2,25.96
18,0.694963,0.787618,0.298557,0.230836,14.4,19.26
11,0.84142,0.485094,0,0.965293,8.8,8.47
13,0.727152,0.455279,1,0.751027,10.4,13.53
20,0.359108,0.217986,1,0.343094,16,23.5
16,0.72669,0.177213,0.501293,0.948528,12.8,13.68
13,0.139467,0.073624,1,0.700512,10.4,14.74
15,0.313819,0.892393,0.262636,0.840561,12,16.5
20,0.419583,0.640177,0.675308,0.045497,16,25.92
26,0.877212,0.143332,0.676473,0.055642,20.8,25.4
10,0.15374,0.414127,0.067902,0.742737,8,11.01
13,0.880125,0.049109,0.818973,0.304686,10.4,11.74
12,0.798964,0.209373,1,0.516784,9.6,11.53
23,0.58337,0.092422,0.481303,0.210328,18.4,23.97
15,0.6489,0.01363,0.344826,0.209518,12,15.01
20,0.910971,0.83693,0.327073,0.395524,16,19.32
18,0.121658,0.914788,0.829364,0.980703,14.4,24.46
18,0.675821,0.704586,0.697795,0.194108,14.4,21.38
16,0.754751,0.387007,0.391173,0.849631,12.8,14.22
16,0.910535,0.705694,0.788113,0.459645,12.8,17.06
18,0.241688,0.923311,0,0.192586,14.4,20.97
21,0.975596,0.288153,0.809959,0.171264,16.8,20.35
23,0.30373,0.68402,0,0.460533,18.4,24.99
19,0.9006,0.520293,0.961531,0.221288,15.2,20.82
18,0.10466,0.877366,0.152289,0.51437,14.4,21.76
14,0.67312,0.923889,0.514704,0.721152,11.2,15.07
11,0.869543,0.48923,1,0.951508,8.8,10.53
23,0.561028,0.596214,1,0.035417,18.4,30.06
14,0.467618,0.264275,0.50331,0.982805,11.2,13.57
15,0.015088,0.991711,0.640756,0.739411,12,21
15,0.393214,0.210398,0.828163,0.183192,12,17.64
